,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,# unique markers (of 43),# multi-copy,Taxonomy,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,# genomic features,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,status,superkingdom,phylum,class,order,family,genus,species,strain,sample_id
41B_Month1_21_S1876,Bacteria,5449,104,58,0,91,13,0,0,0,100.0,16.21,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,139,137,37,14,6,3,5630686,5629901,5400674,5245073,5123584,5010939,137,4089229,5629901,5062596,50.68,50.60,4089229,4089229,470780,4089229,1,1,2,1,36,33,4811302,11,0,0,0,0 + 0 part,0,99.603,1.116,0.00,19.08,6.80,0 + 0 part,4035415,5625767,4035415,4035415,466390,4035415,1,1,2,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_21_S1876.fasta
41B_Month1_22_S1884,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,7,7,6,4,3,2,5172928,5172928,5168276,5153690,5137310,5097579,7,5007664,5172928,5062596,50.61,50.60,5007664,5007664,5007664,5007664,1,1,1,1,1,1,5007664,6,0,0,0,0 + 0 part,0,99.857,1.023,0.00,3.15,0.63,0 + 0 part,4831062,5171561,4831062,4831062,4831062,4831062,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_22_S1884.fasta
41B_Month1_23_S1892,Bacteria,5449,104,58,0,101,3,0,0,0,100.0,5.17,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,8,8,6,4,2,5171386,5171386,5171386,5153656,5131498,5058575,8,5007250,5171386,5062596,50.60,50.60,5007250,5007250,5007250,5007250,1,1,1,1,3,3,52980,12,0,0,0,0 + 0 part,0,99.855,1.023,0.00,3.17,0.42,0 + 0 part,5003059,5167125,5003059,5003059,5003059,5003059,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_23_S1892.fasta
41B_Month1_24_S19,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,5,4,3,2,1,5079191,5079191,5075425,5066869,5049856,5010125,5,5010125,5079191,5062596,50.59,50.60,5010125,5010125,5010125,5010125,1,1,1,1,2,2,20779,10,0,0,0,0 + 0 part,0,99.903,1.004,0.00,2.39,0.34,0 + 0 part,5003585,5072651,5003585,5003585,5003585,5003585,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_24_S19.fasta
41B_Month1_2_S1819,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,1.19,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_2_S1819.fasta
41B_Month1_3_S1827,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,12,12,10,5,5,2,5244791,5244791,5238423,5200690,5200690,5096676,12,5017336,5244791,5062596,50.55,50.60,5017336,5017336,5017336,5017336,1,1,1,1,2,2,5026951,13,0,0,0,0 + 0 part,0,99.879,1.037,0.00,3.98,0.44,0 + 0 part,5004383,5239479,5004383,5004383,5004383,5004383,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_3_S1827.fasta
41B_Month1_4_S1835,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,1.72,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,23,22,14,10,5,2,5288850,5288430,5269643,5236385,5139189,5037571,22,4978966,5288430,5062596,50.59,50.60,4978966,4978966,4978966,4978966,1,1,1,1,5,5,116836,5,0,0,0,0 + 0 part,0,99.95,1.045,0.00,3.77,1.32,0 + 0 part,4978298,5287367,4978298,4978298,4978298,4978298,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_4_S1835.fasta
41B_Month1_5_S184,Bacteria,5449,104,58,0,90,14,0,0,0,100.0,20.69,100.0,39,4,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,49,49,39,30,18,8,6234259,6234259,6197192,6128761,5933616,5566343,49,4823855,6234259,5062596,50.66,50.60,4823855,4823855,4823855,4823855,1,1,1,1,7,7,328900,9,0,0,0,0 + 0 part,0,99.912,1.233,0.00,5.14,1.80,0 + 0 part,4823045,6230580,4823045,4823045,4823045,4823045,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_5_S184.fasta
41B_Month1_6_S1851,Bacteria,5449,104,58,0,100,4,0,0,0,100.0,6.03,100.0,41,2,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,74,74,41,29,12,5,5582180,5582180,5508683,5419526,5150462,4917579,74,3551620,5582180,5062596,50.58,50.60,3551620,3551620,561225,584688,1,1,3,2,25,25,463664,9,0,0,0,0 + 0 part,0,99.88,1.104,0.00,13.98,3.74,0 + 0 part,3550876,5578097,3550876,3550876,560976,584494,1,1,3,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_6_S1851.fasta
41B_Month1_7_S1859,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5061934,5061093,5048890,5040334,5040334,5011504,7,5011504,5061093,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.97,1.000,0.00,1.07,0.00,0 + 0 part,5011504,5061093,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_7_S1859.fasta
41B_Month1_8_S1867,Bacteria,5449,104,58,0,98,6,0,0,0,100.0,5.64,100.0,40,3,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,66,66,28,13,3,1,5416503,5416503,5332684,5224492,5078942,5009712,66,5009712,5416503,5062596,50.59,50.60,5009712,5009712,5009712,5009712,1,1,1,1,6,6,57825,11,0,0,0,0 + 0 part,0,99.901,1.071,0.00,9.19,3.16,0 + 0 part,5006337,5412227,5006337,5006337,5006337,5006337,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_8_S1867.fasta
41B_Month1_9_S1875,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,1.72,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,30,29,17,9,4,2,5258699,5258168,5240942,5185809,5109549,5048535,30,4987981,5258699,5062596,50.61,50.60,4987981,4987981,4987981,4987981,1,1,1,1,5,5,51488,13,0,0,0,0 + 0 part,0,99.652,1.042,0.00,6.78,1.94,0 + 0 part,4986623,5256951,4986623,4986623,4986623,4986623,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_9_S1875.fasta
41B_Month3_10_S159,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,73,36,29,23,18,13,5019597,5009671,4989695,4947731,4854709,4683466,39,1185431,5011682,5062596,50.57,50.60,396340,396340,268809,268809,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,98.994,1.000,0.00,0.24,0.02,0 + 0 part,1185431,5011682,396340,396340,268809,268809,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_10_S159.fasta
41B_Month3_11_S1601,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062174,5061754,5060094,5051538,5051538,5011502,4,5011502,5061754,5062596,50.60,50.60,5011502,5011502,5011502,5011502,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,2.03,0.08,0 + 0 part,5011502,5061754,5011502,5011502,5011502,5011502,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_11_S1601.fasta
41B_Month3_12_S1609,Bacteria,5449,104,58,1,100,3,0,0,0,98.28,3.45,100.0,42,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,116,105,11,6,6,5,5245548,5240737,5067778,5032698,5032698,4991064,109,2121397,5244010,5062596,50.60,50.60,1532551,1532551,999557,999557,2,2,3,3,42,41,2222137,3,0,0,0,0 + 0 part,0,99.649,1.039,0.00,18.51,5.02,0 + 0 part,2117276,5242736,1532551,1532551,999557,999557,2,2,3,3,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_12_S1609.fasta
41B_Month3_13_S1522,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5061934,5061093,5048890,5040334,5040334,5011504,7,5011504,5061093,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.97,1.000,0.00,0.87,0.00,0 + 0 part,5011504,5061093,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_13_S1522.fasta
41B_Month3_14_S15,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,10,7,3,2,2,1,5061862,5061137,5051164,5042608,5042608,5011500,7,5011500,5061137,5062596,50.60,50.60,5011500,5011500,5011500,5011500,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.97,1.000,0.00,2.55,0.06,0 + 0 part,5011500,5061074,5011500,5011500,5011500,5011500,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_14_S15.fasta
41B_Month3_15_S1538,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062175,5061755,5060095,5051539,5051539,5011503,4,5011503,5061755,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,2.13,0.06,0 + 0 part,5011503,5061755,5011503,5011503,5011503,5011503,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_15_S1538.fasta
41B_Month3_16_S1546,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,10,7,3,2,2,1,5061866,5061141,5051168,5042612,5042612,5011504,7,5011504,5061141,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.971,1.000,0.00,3.14,0.00,0 + 0 part,5011504,5061141,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_16_S1546.fasta
41B_Month3_17_S1554,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,67,36,25,20,16,12,5019714,5011187,4980668,4945274,4877009,4755872,39,1185431,5013198,5062596,50.57,50.60,406373,406373,347638,347638,4,4,7,7,0,0,0,1,0,0,0,0 + 0 part,0,99.024,1.000,0.00,0.28,0.00,0 + 0 part,1185431,5013198,406373,406373,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_17_S1554.fasta
41B_Month3_18_S1562,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,64,32,26,21,17,13,5015609,5006524,4991394,4956316,4888001,4762597,37,1185431,5009815,5062596,50.57,50.60,405491,405491,279598,279598,4,4,7,7,1,1,405491,0,0,0,0,0 + 0 part,0,98.957,1.000,0.00,0.54,0.00,0 + 0 part,1185431,5009799,396565,396565,279598,279598,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_18_S1562.fasta
41B_Month3_19_S157,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,2.15,0.04,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_19_S157.fasta
41B_Month3_1_S1521,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,92,41,30,26,22,17,5018739,5005777,4975607,4946609,4878294,4718293,47,1185431,5009666,5062596,50.57,50.60,396279,396279,268809,268809,4,4,8,8,0,0,0,1,0,0,0,0 + 0 part,0,98.95,1.000,0.00,0.04,0.00,0 + 0 part,1185431,5009420,396279,396279,268809,268809,4,4,8,8,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_1_S1521.fasta
41B_Month3_20_S1578,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,7,7,7,5,4,2,5094171,5094171,5094171,5078183,5065670,5004000,7,4553629,5094171,5062596,50.60,50.60,4553629,4553629,4553629,4553629,1,1,1,1,2,2,462884,5,0,0,0,0 + 0 part,0,99.576,1.011,0.00,1.71,0.08,0 + 0 part,4552543,5093059,4552543,4552543,4552543,4552543,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_20_S1578.fasta
41B_Month3_21_S1586,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,10,7,3,2,2,1,5061869,5061144,5051171,5042615,5042615,5011507,7,5011507,5061144,5062596,50.60,50.60,5011507,5011507,5011507,5011507,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.971,1.000,0.00,2.75,0.10,0 + 0 part,5011507,5061144,5011507,5011507,5011507,5011507,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_21_S1586.fasta
41B_Month3_22_S1594,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,80,40,29,24,19,14,5019077,5008948,4978429,4943035,4850013,4683037,43,1185431,5010959,5062596,50.57,50.60,396226,359212,268809,268809,4,5,8,8,0,0,0,0,0,0,0,0 + 0 part,0,98.98,1.000,0.00,0.20,0.00,0 + 0 part,1185431,5010959,396226,359212,268809,268809,4,5,8,8,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_22_S1594.fasta
41B_Month3_23_S1602,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5061933,5061092,5048889,5040333,5040333,5011503,7,5011503,5061092,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.97,1.000,0.00,0.61,0.02,0 + 0 part,5011503,5061092,5011503,5011503,5011503,5011503,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_23_S1602.fasta
41B_Month3_24_S161,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,48,47,19,9,5,3,5269710,5269584,5208077,5132349,5067454,4993698,47,3381883,5269584,5062596,50.58,50.60,3381883,3381883,1482970,1482970,1,1,2,2,10,9,107942,6,0,0,0,0 + 0 part,0,99.639,1.045,0.00,9.65,3.55,0 + 0 part,3381470,5268341,3381470,3381470,1482970,1482970,1,1,2,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_24_S161.fasta
41B_Month3_3_S1537,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,3,2,2,1,5047408,5047408,5047408,5038852,5038852,5005755,3,5005755,5047408,5062596,50.61,50.60,5005755,5005755,5005755,5005755,1,1,1,1,2,1,5005755,7,0,0,0,0 + 0 part,0,99.689,1.000,0.00,2.00,0.02,0 + 0 part,2422100,5046436,1674225,1674225,1674225,1674225,2,2,2,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_3_S1537.fasta
41B_Month3_4_S1545,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5061290,5060449,5048246,5039690,5039690,5010860,7,5010860,5060449,5062596,50.60,50.60,5010860,5010860,5010860,5010860,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.957,1.000,0.00,1.62,0.10,0 + 0 part,5010811,5060400,5010811,5010811,5010811,5010811,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_4_S1545.fasta
41B_Month3_5_S155,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062175,5061755,5060095,5051539,5051539,5011503,4,5011503,5061755,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,1.22,0.06,0 + 0 part,5011503,5061755,5011503,5011503,5011503,5011503,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_5_S155.fasta
41B_Month3_6_S1561,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062175,5061755,5060095,5051539,5051539,5011503,4,5011503,5061755,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,2.11,0.02,0 + 0 part,5011503,5061755,5011503,5011503,5011503,5011503,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_6_S1561.fasta
41B_Month3_7_S1569,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,9,6,5,3,3,1,5109844,5109119,5107459,5092395,5092395,5011301,6,5011301,5109119,5062596,50.61,50.60,5011301,5011301,5011301,5011301,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.971,1.009,0.00,1.52,0.08,0 + 0 part,5011301,5109020,5011301,5011301,5011301,5011301,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_7_S1569.fasta
41B_Month3_8_S1577,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062177,5061757,5060097,5051541,5051541,5011505,4,5011505,5061757,5062596,50.60,50.60,5011505,5011505,5011505,5011505,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,2.19,0.20,0 + 0 part,5011505,5061757,5011505,5011505,5011505,5011505,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_8_S1577.fasta
41B_Month3_9_S1585,Bacteria,5449,104,58,0,91,13,0,0,0,100.0,12.24,100.0,38,5,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,369,369,42,6,4,3,6041470,6041470,5300503,5061789,5040178,4998325,369,3044729,6041470,5062596,50.63,50.60,3044729,3044729,558363,1395233,1,1,3,2,246,228,3783779,9,0,0,0,0 + 1 part,3695,99.848,1.194,0.00,23.09,10.82,0 + 0 part,3033696,6031354,3033696,3033696,558057,1395233,1,1,3,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month3_9_S1585.fasta
41B_Month6_10_S553,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062183,5061763,5060103,5051547,5051547,5011511,4,5011511,5061763,5062596,50.60,50.60,5011511,5011511,5011511,5011511,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.61,0.06,0 + 0 part,5011511,5061763,5011511,5011511,5011511,5011511,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month6_10_S553.fasta
41B_Month6_11_S561,Bacteria,5449,104,58,0,86,18,0,0,0,100.0,8.62,100.0,31,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,16,13,11,9,9,7,5152589,5151787,5145257,5129507,5129507,5054632,13,2854202,5151787,5062596,50.55,50.60,2854202,2854202,439393,439393,1,1,3,3,3,3,3632440,6,0,0,0,0 + 0 part,0,99.488,1.023,0.00,1.49,0.02,0 + 0 part,2807233,5150372,2807233,2807233,439205,439205,1,1,3,3,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month6_11_S561.fasta
41B_Month6_12_S569,Bacteria,5449,104,58,0,100,4,0,0,0,100.0,6.9,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,23,23,13,7,5,4,5347086,5347086,5313149,5267772,5236902,5197171,23,5010001,5347086,5062596,50.56,50.60,5010001,5010001,5010001,5010001,1,1,1,1,4,4,99353,9,0,0,0,0 + 0 part,0,99.908,1.057,0.00,5.38,1.74,0 + 0 part,5009071,5345715,5009071,5009071,5009071,5009071,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month6_12_S569.fasta
